address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct,distr
Свердловская область;Екатеринбург;район Верх-Исетский;Юго-Западный мкр;ул. Шаумяна;д.107,Юго-Западный мкр,ул. Шаумяна,д.107,"56.817405,60.558299",64.4,4112765,63862,56.81740500000001,60.558299,1,Юго-Западный
Свердловская область;Екатеринбург;район Чкаловский;ул. Дарвина;д.2,район Чкаловский,ул. Дарвина,д.2,"56.782948,60.663447",78.0,4200000,53846,56.782948,60.663447,1,Уктус
Свердловская область;Екатеринбург;район Железнодорожный;Техническая ул.;д.68,район Железнодорожный,Техническая ул.,д.68,"56.874444,60.519626",77.0,4200000,54545,56.874444,60.519626,1,Старая Сортировка
Свердловская область;Екатеринбург;район Кировский;ЖБИ мкр;ул. 40-летия Комсомола;д.31,ЖБИ мкр,ул. 40-летия Комсомола,д.31,"56.831423,60.694609",80.0,4200000,52500,56.831423,60.694609,1,ЖБИ
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Ильича;д.71,район Орджоникидзевский,ул. Ильича,д.71,"56.900471,60.611668",65.5,4200000,64122,56.900471,60.611668,1,Уралмаш
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Готвальда;д.19,район Верх-Исетский,ул. Готвальда,д.19,"56.852878,60.570354",73.0,4300000,58904,56.852878,60.570354,1,Заречный
Свердловская область;Екатеринбург;район Верх-Исетский;Юго-Западный мкр;ул. Белореченская;д.29,Юго-Западный мкр,ул. Белореченская,д.29,"56.812892,60.559422",65.8,4300000,65349,56.81289200000001,60.559422,1,Юго-Западный
Свердловская область;Екатеринбург;район Верх-Исетский;Опалихинская ул.;д.19,район Верх-Исетский,Опалихинская ул.,д.19,"56.849295,60.562764",76.8,4390000,57161,56.849295,60.562764,1,Заречный
Свердловская область;Екатеринбург;район Орджоникидзевский;Стахановская ул.;д.24к2,район Орджоникидзевский,Стахановская ул.,д.24к2,"56.894135,60.599594",82.0,4390000,53536,56.894135,60.599594,1,Уралмаш
Свердловская область;Екатеринбург;район Железнодорожный;ул. Минометчиков;д.58,район Железнодорожный,ул. Минометчиков,д.58,"56.869933,60.519896",81.5,4350000,53374,56.869933,60.519896,1,Старая Сортировка
Свердловская область;Екатеринбург;район Орджоникидзевский;Эльмаш мкр;ул. Старых Большевиков;д.34,Эльмаш мкр,ул. Старых Большевиков,д.34,"56.895246,60.626508",69.0,2850000,41304,56.89524599999999,60.626508,1,Эльмаш
Свердловская область;Екатеринбург;район Железнодорожный;Тагильская ул.;д.23,район Железнодорожный,Тагильская ул.,д.23,"56.861259,60.586524",58.0,2920000,50344,56.861259,60.586524,1,Завокзальный
Свердловская область;Екатеринбург;район Железнодорожный;Ангарская ул.;д.60,район Железнодорожный,Ангарская ул.,д.60,"56.884684,60.517578",62.0,3000000,48387,56.884684,60.517578,1,Старая Сортировка
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Симферопольская;д.17,Вторчермет мкр,ул. Симферопольская,д.17,"56.773050,60.583631",73.5,3000000,40816,56.77305,60.583631,1,Вторчермет
Свердловская область;Екатеринбург;пос. Совхозный;район Ленинский;Предельная ул.;д.10А,район Ленинский,Предельная ул.,д.10А,"56.761561,60.571100",61.8,3100000,50161,56.761561,60.5711,1,Совхозный пос.
Свердловская область;Екатеринбург;район Железнодорожный;просп. Седова;д.44,район Железнодорожный,просп. Седова,д.44,"56.869043,60.533928",62.0,3199990,51612,56.86904300000001,60.533928,1,Старая Сортировка
Свердловская область;Екатеринбург;район Октябрьский;Трактовая ул.;д.9,район Октябрьский,Трактовая ул.,д.9,"56.779096,60.799847",80.0,3200000,40000,56.779096,60.799847,1,Малый Исток пос.
Свердловская область;Екатеринбург;район Железнодорожный;Ангарская ул.;д.52к2,район Железнодорожный,Ангарская ул.,д.52к2,"56.886681,60.513644",68.1,3399999,49926,56.886681,60.51364399999999,1,Старая Сортировка
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Симферопольская;д.18А,Вторчермет мкр,ул. Симферопольская,д.18А,"56.772946,60.585194",79.8,3380000,42355,56.772946,60.585194,1,Вторчермет
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Токарей;д.60к2,район Верх-Исетский,ул. Токарей,д.60к2,"56.827818,60.558056",57.6,3440000,59722,56.82781800000001,60.55805600000001,1,ВИЗ
Свердловская область;Екатеринбург;район Кировский;Втузгородок мкр;ул. Академическая;д.8,Втузгородок мкр,ул. Академическая,д.8,"56.850260,60.645534",62.3,3400000,54574,56.85026,60.645534,1,Втузгородок
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.94,район Орджоникидзевский,просп. Космонавтов,д.94,"56.909692,60.614758",58.0,3400000,58620,56.90969200000001,60.614758,1,Эльмаш
Свердловская область;Екатеринбург;район Верх-Исетский;Посадская ул.;д.52,район Верх-Исетский,Посадская ул.,д.52,"56.817375,60.582958",58.0,3450000,59482,56.817375,60.582958,1,Юго-Западный
Свердловская область;Екатеринбург;район Кировский;Втузгородок мкр;ул. Академическая;д.8,Втузгородок мкр,ул. Академическая,д.8,"56.850260,60.645534",62.3,3500000,56179,56.85026,60.645534,1,Втузгородок
Свердловская область;Екатеринбург;район Орджоникидзевский;просп. Космонавтов;д.89,район Орджоникидзевский,просп. Космонавтов,д.89,"56.921391,60.611479",64.0,3500000,54687,56.921391,60.611479,1,Уралмаш
Свердловская область;Екатеринбург;район Чкаловский;Вторчермет мкр;ул. Аптекарская;д.44,Вторчермет мкр,ул. Аптекарская,д.44,"56.764990,60.611174",73.3,3600000,49113,56.76499,60.611174,1,Вторчермет
Свердловская область;Екатеринбург;пос. Совхозный;район Ленинский;Предельная ул.;д.7,район Ленинский,Предельная ул.,д.7,"56.763194,60.570911",79.0,3600000,45569,56.76319399999999,60.570911,1,Совхозный пос.
Свердловская область;Екатеринбург;район Чкаловский;Елизавет мкр;ул. Бисертская;д.4В,Елизавет мкр,ул. Бисертская,д.4В,"56.739836,60.609880",77.1,3680000,47730,56.739836,60.60988,1,Елизавет
Свердловская область;Екатеринбург;район Верх-Исетский;ул. Крауля;д.81,район Верх-Исетский,ул. Крауля,д.81,"56.830724,60.539102",63.0,3680000,58412,56.830724,60.539102,1,ВИЗ
Свердловская область;Екатеринбург;район Железнодорожный;Автомагистральная ул.;д.11,район Железнодорожный,Автомагистральная ул.,д.11,"56.869407,60.562665",64.0,3650000,57031,56.869407,60.562665,1,Новая Сортировка
Свердловская область;Екатеринбург;район Орджоникидзевский;ул. Индустрии;д.52,район Орджоникидзевский,ул. Индустрии,д.52,"56.899586,60.600313",74.0,3700000,50000,56.899586,60.600313,1,Уралмаш
Свердловская область;Екатеринбург;район Чкаловский;Химмаш мкр;ул. Инженерная;д.43,Химмаш мкр,ул. Инженерная,д.43,"56.756839,60.706719",64.0,3740000,58437,56.756839,60.70671899999999,1,Химмаш
Свердловская область;Екатеринбург;район Ленинский;Юго-Западный мкр;ул. Начдива Онуфриева;д.28,Юго-Западный мкр,ул. Начдива Онуфриева,д.28,"56.801085,60.551562",63.4,3749000,59132,56.801085,60.551562,1,Юго-Западный
Свердловская область;Екатеринбург;район Верх-Исетский;Посадская ул.;д.59,район Верх-Исетский,Посадская ул.,д.59,"56.819971,60.580299",74.0,3730000,50405,56.819971,60.580299,1,Юго-Западный
Свердловская область;Екатеринбург;район Железнодорожный;Старая Сортировка мкр;ул. Кунарская;д.63,Старая Сортировка мкр,ул. Кунарская,д.63,"56.884532,60.500941",78.0,3700000,47435,56.88453199999999,60.50094100000001,1,Старая Сортировка
Свердловская область;Екатеринбург;район Кировский;ул. Владимира Высоцкого;д.1,район Кировский,ул. Владимира Высоцкого,д.1,"56.843608,60.674976",57.5,4545840,79085,56.843608,60.674976,1,ЖБИ
Свердловская область;Екатеринбург;район Ленинский;ул. Краснолесья;д.26,район Ленинский,ул. Краснолесья,д.26,"56.783870,60.544815",57.2,4500000,78671,56.78386999999999,60.544815,1,УНЦ
Свердловская область;Екатеринбург;район Чкаловский;ул. Гастелло;д.25,район Чкаловский,ул. Гастелло,д.25,"56.782927,60.647289",69.0,4570000,66231,56.782927,60.647289,1,Уктус
Свердловская область;Екатеринбург;район Чкаловский;ул. 8 Марта,Екатеринбург,ул. Крестинского, 17А,"56.792054,60.610382",62.3,4584400,73550,56.792054,60.610382,1,unknown
