address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct,distr
Санкт-Петербург;район Василеостровский;просп. Средний Васильевского острова;д.85,район Василеостровский,просп. Средний Васильевского острова,д.85,"59.936458,30.254262",163.1,42000000,257510,59.936458,30.254262,1,"МО №9 ""Гавань"""
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,Петровская коса, 7/2,"59.961648,30.246005",204.5,42459645,207616,59.961648,30.246005,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Центральный;пер. Басков;д.2,район Центральный,пер. Басков,д.2,"59.939848,30.352916",163.8,42859908,261659,59.939848,30.352916,1,"МО №79 ""Литейный"""
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,ул. Савиной, 1 корпус 4,"59.962548,30.259272",176.2,42826320,243055,59.962548,30.259272,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Центральный;пер. Басков;д.2,район Центральный,пер. Басков,д.2,"59.939848,30.352916",163.0,42859000,262938,59.939848,30.352916,1,"МО №79 ""Литейный"""
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,Петровская коса, 7/2,"59.961648,30.246005",217.4,43389847,199631,59.961648,30.246005,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Адмиралтейский;Московский просп.,unknown,Московский пр-т., 65,"59.907359,30.315716",165.3,43636400,263983,59.907359,30.315716,1,"МО №5 ""Измайловское"""
Санкт-Петербург;район Выборгский;Институтский просп.,unknown,Институтский пр., 16/2,"60.002421,30.346369",163.0,44190925,271109,60.002421,30.346369,1,"МО №13 ""Светлановское"""
Санкт-Петербург;район Центральный;Смольный просп.;д.17,район Центральный,Смольный просп.,д.17,"59.943972,30.396590",176.4,44777376,253840,59.943972,30.396590000000003,1,"МО №80 ""Смольнинское"""
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,Петровский пр., 26 к.Б,"59.960667,30.255941",168.9,44584320,264000,59.960667,30.255941,1,"МО №62 ""Петровский"""
Санкт-Петербург;Зеленогорск;район Курортный;Приморское ш.;д.502,район Курортный,Приморское ш.,д.502,"60.185097,29.752903",122.7,44999980,366748,60.185097,29.752903000000003,1,"МО ""г. Зеленогорск"""
Санкт-Петербург;Зеленогорск;район Курортный;Приморское ш.;д.502,район Курортный,Приморское ш.,д.502,"60.185097,29.752903",123.0,45000251,365855,60.185097,29.752903000000003,1,"МО ""г. Зеленогорск"""
Санкт-Петербург;район Московский;Московское ш.;д.3к4,район Московский,Московское ш.,д.3к4,"59.834190,30.332611",157.1,36674995,233450,59.83419,30.332611,1,unknown
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,ул. Савиной, 1 корпус 4,"59.962548,30.259272",124.6,36516590,293070,59.962548,30.259272,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Московский;Московский просп.;д.183-185Б,район Московский,Московский просп.,д.183-185Б,"59.857420,30.318376",238.8,36500676,152844,59.85742,30.318376,1,"МО №47 ""Пулковский меридиан"""
Санкт-Петербург;район Адмиралтейский;Малодетскосельский просп.;д.40,район Адмиралтейский,Малодетскосельский просп.,д.40,"59.911114,30.319957",137.1,37068193,270314,59.91111400000001,30.319957,1,"МО №4 ""Семёновский"""
Санкт-Петербург;район Московский;ул. Гастелло;д.9,район Московский,ул. Гастелло,д.9,"59.857902,30.324968",126.4,36832960,291400,59.857902,30.324968,1,"МО №48 ""Звездное"""
Санкт-Петербург;район Московский;Московский просп.;д.183-185Б,район Московский,Московский просп.,д.183-185Б,"59.857420,30.318376",238.2,37523830,157544,59.85742,30.318376,1,"МО №47 ""Пулковский меридиан"""
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,ул. Савиной, 1 корпус 4,"59.962548,30.259272",154.1,37443870,242984,59.962548,30.259272,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Московский;ул. Гастелло;д.9,район Московский,ул. Гастелло,д.9,"59.857902,30.324968",154.1,37662040,244400,59.857902,30.324968,1,"МО №48 ""Звездное"""
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,Петровский пр., 9-11,"59.962974,30.260694",140.5,37924200,269923,59.962974,30.260694,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,Петровская коса, 7/2,"59.961648,30.246005",189.5,38431338,202825,59.961648,30.246005,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Московский;Московское ш.;д.3к4,район Московский,Московское ш.,д.3к4,"59.834190,30.332611",172.9,38608570,223300,59.83419,30.332611,1,unknown
Санкт-Петербург;район Центральный;Смольный просп.;д.17,район Центральный,Смольный просп.,д.17,"59.943972,30.396590",164.8,38734592,235039,59.943972,30.396590000000003,1,"МО №80 ""Смольнинское"""
Санкт-Петербург;район Центральный;Смольный просп.;д.17,район Центральный,Смольный просп.,д.17,"59.943972,30.396590",164.5,38664080,235040,59.943972,30.396590000000003,1,"МО №80 ""Смольнинское"""
Санкт-Петербург;район Петроградский;Пионерская ул.;д.50,район Петроградский,Пионерская ул.,д.50,"59.963539,30.273171",196.0,38800000,197959,59.963539,30.273171,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Петроградский;Пионерская ул.;д.50,район Петроградский,Пионерская ул.,д.50,"59.963539,30.273171",140.0,39000000,278571,59.963539,30.273171,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Центральный;Смольный просп.;д.17,район Центральный,Смольный просп.,д.17,"59.943972,30.396590",167.8,39439712,235039,59.943972,30.396590000000003,1,"МО №80 ""Смольнинское"""
Санкт-Петербург;район Петроградский;проезд Петровская коса,unknown,Петровская коса, 7/2,"59.961648,30.246005",217.6,39088595,179668,59.961648,30.246005,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Петроградский;Петровский просп.,unknown,ул. Савиной, 1 корпус 4,"59.962548,30.259272",140.1,39656790,283060,59.962548,30.259272,1,"МО №62 ""Петровский"""
Санкт-Петербург;район Красногвардейский;Пискаревский просп.;д.1,район Красногвардейский,Пискаревский просп.,д.1,"59.957298,30.405572",156.8,39577848,252409,59.957298,30.405572,1,"МО №33 ""Большая Охта"""
Санкт-Петербург;район Центральный;Смольный просп.;д.17,район Центральный,Смольный просп.,д.17,"59.943972,30.396590",169.8,39909792,235039,59.943972,30.396590000000003,1,"МО №80 ""Смольнинское"""
Санкт-Петербург;район Центральный;Исполкомская ул.;д.17,район Центральный,Исполкомская ул.,д.17,"59.930354,30.383511",90.0,13950000,155000,59.930354,30.383511,1,"МО №80 ""Смольнинское"""
Санкт-Петербург;район Василеостровский;Уральская ул.;д.2,район Василеостровский,Уральская ул.,д.2,"59.949104,30.267296",70.0,14585000,208357,59.94910400000001,30.267296,1,"МО №11 ""Остров Декабристов"""
Санкт-Петербург;Красное Село;район Красносельский;Гатчинское ш.;д.13к3,район Красносельский,Гатчинское ш.,д.13к3,"59.719038,30.077051",45.8,3000000,65487,59.719038,30.077051,1,"МО ""г. Красное Село"""
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.773485,30.604516",45.0,3181307,70680,59.773485,30.604516,1,"МО ""г. Колпино"""
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.,Колпино,ул. Севастьянова, 28,"59.773639,30.606257",45.8,3239264,70679,59.773639,30.606257,1,"МО ""г. Колпино"""
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.773639,30.606257",45.8,3239264,70679,59.773639,30.606257,1,"МО ""г. Колпино"""
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.;д.43к3,район Колпинский,Загородная ул.,д.43к3,"59.773485,30.604516",46.5,3288034,70680,59.773485,30.604516,1,"МО ""г. Колпино"""
Санкт-Петербург;Колпино;район Колпинский;Загородная ул.,Колпино,ул. Севастьянова, 28,"59.773639,30.606257",47.0,3342150,71154,59.773639,30.606257,1,"МО ""г. Колпино"""
