address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct
Москва;район Даниловский;ул. Серпуховский Вал;д.21к1,район Даниловский,ул. Серпуховский Вал,д.21к1,"55.710809,37.610404",129.0,68000000,527131,55.710809,37.610403999999996,1
Москва;район Раменки;Воробьевское ш.;д.4,район Раменки,Воробьевское ш.,д.4,"55.727693,37.535359",125.0,68250000,546000,55.727693,37.535359,1
Москва;район Даниловский;ул. Серпуховский Вал;д.21к1,район Даниловский,ул. Серпуховский Вал,д.21к1,"55.710809,37.610404",129.0,68000000,527131,55.710809,37.610403999999996,1
Москва;район Фили-Давыдково;Давыдковская ул.;д.3,район Фили-Давыдково,Давыдковская ул.,д.3,"55.727460,37.479977",198.0,68000000,343434,55.72746,37.479977000000005,1
Москва;район Тверской;Большая Грузинская ул.;д.69,район Тверской,Большая Грузинская ул.,д.69,"55.773975,37.586086",111.0,69322440,624526,55.773975,37.586086,1
Москва;район Якиманка;Погорельский пер.;д.6,район Якиманка,Погорельский пер.,д.6,"55.732839,37.622306",98.4,69322440,704496,55.732839,37.622306,1
Москва;район Арбат;Борисоглебский пер.;д.8С1,район Арбат,Борисоглебский пер.,д.8С1,"55.754345,37.590237",116.0,70000000,603448,55.754344999999994,37.590237,1
Москва;район Западное Дегунино;Дмитровское ш.;д.81,район Западное Дегунино,Дмитровское ш.,д.81,"55.861176,37.549426",52.6,10645826,202392,55.861176,37.549426000000004,1
Москва;район Солнцево;ул. Авиаторов;д.5,район Солнцево,ул. Авиаторов,д.5,"55.640929,37.398851",51.3,10700000,208576,55.64092900000001,37.398851,1
Москва;район Южное Бутово;ул. Поляны;д.7,район Южное Бутово,ул. Поляны,д.7,"55.552408,37.552157",57.7,10750000,186308,55.55240799999999,37.552157,1
Москва;район Сокол;Светлый проезд;д.6К2,район Сокол,Светлый проезд,д.6К2,"55.813253,37.490227",57.2,10800000,188811,55.813253,37.490227000000004,1
Москва;район Академический;просп. 60-летия Октября;д.23К1,район Академический,просп. 60-летия Октября,д.23К1,"55.691399,37.576789",48.0,10900000,227083,55.691399,37.576789,1
Москва;район Солнцево;Мещерский лес ЖК;д.к5с1,район Солнцево,Мещерский лес ЖК,д.к5с1,"55.661948,37.421443",65.5,10990000,167786,55.661947999999995,37.421443,1
Москва;район Бескудниковский;Бескудниковский бул.;д.21К2,район Бескудниковский,Бескудниковский бул.,д.21К2,"55.866687,37.557107",63.0,10900000,173015,55.866687,37.557107,1
Москва;район Очаково-Матвеевское;Большая Очаковская ул.;д.12к4,район Очаково-Матвеевское,Большая Очаковская ул.,д.12к4,"55.686954,37.461230",60.3,11000000,182421,55.68695400000001,37.46123,1
Москва;район Кунцево;Молодогвардейская ул.;д.36К6,район Кунцево,Молодогвардейская ул.,д.36К6,"55.737279,37.416305",49.7,11000000,221327,55.737279,37.416305,1
