address,district,street,house_number,coords,area,full_price,weighted_price,lat,lon,is_correct
Санкт-Петербург;район Петроградский;Гатчинская ул.;д.1,район Петроградский,Гатчинская ул.,д.1,"59.960881,30.302807",189.0,15800000,83597,59.96088100000001,30.302807,1
Санкт-Петербург;район Петроградский;просп. Большой Петроградской стороны;д.80,район Петроградский,просп. Большой Петроградской стороны,д.80,"59.963971,30.308619",178.0,15890000,89269,59.963970999999994,30.308619,1
Санкт-Петербург;район Адмиралтейский;Почтамтская ул.;д.13,район Адмиралтейский,Почтамтская ул.,д.13,"59.931751,30.299878",140.0,15800000,112857,59.931751,30.299878000000003,1
Санкт-Петербург;район Адмиралтейский;наб. Реки Фонтанки;д.129,район Адмиралтейский,наб. Реки Фонтанки,д.129,"59.919581,30.306391",176.0,16000000,90909,59.91958100000001,30.306390999999998,1
Санкт-Петербург;район Приморский;ул. Савушкина;д.121к1,район Приморский,ул. Савушкина,д.121к1,"59.986601,30.224258",167.0,15900000,95209,59.986601,30.224258000000003,1
Санкт-Петербург;район Петроградский;ул. Куйбышева;д.21,район Петроградский,ул. Куйбышева,д.21,"59.956340,30.331023",204.0,16000000,78431,59.956340000000004,30.331023,1
Санкт-Петербург;район Василеостровский;20-я Васильевского острова линия;д.13,район Василеостровский,20-я Васильевского острова линия,д.13,"59.933248,30.267368",154.5,15900000,102939,59.933248,30.267367999999998,1
Санкт-Петербург;район Центральный;ул. Пестеля;д.6,район Центральный,ул. Пестеля,д.6,"59.942750,30.342755",161.4,15990000,99070,59.94275,30.342755,1
Санкт-Петербург;район Петроградский;ул. Куйбышева;д.19,район Петроградский,ул. Куйбышева,д.19,"59.956201,30.330717",178.5,16000000,89635,59.956201,30.330717,1
Санкт-Петербург;район Центральный;ул. Пестеля;д.6,район Центральный,ул. Пестеля,д.6,"59.942750,30.342755",161.0,16000000,99378,59.94275,30.342755,1
